"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SegGeo_number","year","HAND_CLASS","Drought_Condition"
-0.525336,1.52592,-1.36281,-1.51581,14.5437,14.5437,1.09481,-2.47623,12,"2010",15,"Medium Drought"
-1.03402,1.82611,-1.03188,-2.34588,28.4006,28.4006,2.99537,-2.47347,12,"2010",29,"Severe Drought"
-0.888951,1.55529,-0.926359,-1.25308,19.6686,19.6686,3,-2.47341,12,"2010",20,"Medium Drought"
-1.09128,1.77569,-0.151346,-1.5419,15.3339,15.3339,2.56384,-2.46694,12,"2010",16,"Medium Drought"
-0.114361,1.4644,-0.604618,-1.0409,22.9853,22.9853,3,-2.46647,12,"2010",23,"Medium Drought"
-0.886312,1.65265,-1.18835,-1.63841,17.8594,17.8594,2.49242,-2.46097,12,"2010",18,"Medium Drought"
-0.593766,2.09771,-1.53083,-1.40286,11.4042,11.4042,3.17662,-2.4586,12,"2010",12,"Medium Drought"
-0.991371,1.90497,-0.804181,-1.89191,4.33462,4.33462,4.64327,-2.44308,12,"2010",5,"Medium Drought"
0.015499,-0.0987006,-1.3797,-1.53856,7.58885,7.58885,3,-2.43088,12,"2015",8,"Medium Drought"
-1.10784,1.75549,-1.09037,-2.12702,24.6077,24.6077,3,-2.42819,12,"2010",25,"Severe Drought"
2.51376,1.69298,-2.1227,-2.36378,29.6359,29.6359,3.16667,-2.42197,12,"2015",30,"Severe Drought"
2.02263,1.08642,-2.27234,-2.39777,17.8733,17.8733,3.94521,-2.418,12,"2015",18,"Severe Drought"
-0.978987,2.38398,-1.0628,-1.0939,11.1543,11.1543,3,-2.41454,12,"2010",12,"Medium Drought"
2.19554,0.891253,-1.91182,-2.60422,14.6173,14.6173,5.9,-2.4119,12,"2015",15,"Severe Drought"
-0.558315,1.00645,-1.0685,-1.06879,10.1638,10.1638,4,-2.41108,12,"2005",11,"Medium Drought"
-0.442859,0.256134,-1.66619,-1.04821,7.11489,7.11489,2,-2.40548,12,"2015",8,"Medium Drought"
-1.08706,1.64021,-0.597755,-1.6401,32.6001,32.6001,4,-2.40355,12,"2010",31,"Medium Drought"
-0.616191,2.10727,-1.40985,-1.20354,11.3578,11.3578,2.67308,-2.39612,12,"2010",12,"Medium Drought"
-1.21512,1.75892,-1.17172,-1.76321,31.0846,31.0846,4,-2.39021,12,"2010",31,"Medium Drought"
-1.11271,1.7834,-0.49116,-1.47219,15.093,15.093,2.7641,-2.38216,12,"2010",16,"Medium Drought"
-0.537855,1.71771,-1.84842,-1.6584,4.9635,4.9635,5.40909,-2.37136,12,"2010",5,"Medium Drought"
-1.0324,1.73382,-1.23941,-1.7361,19.6583,19.6583,2.76479,-2.36343,12,"2010",20,"Medium Drought"
-0.382378,1.64073,-1.61213,-1.89175,50.6333,50.6333,5.98039,-2.363,12,"2010",31,"Medium Drought"
1.97803,1.07704,-2.52011,-2.34746,28.0563,28.0563,3.85915,-2.36,12,"2015",29,"Severe Drought"
-0.636436,1.37669,-1.35269,-1.62472,13.1707,13.1707,1.39658,-2.35676,12,"2010",14,"Medium Drought"
2.10209,0.523231,-2.15207,-2.9976,14.6594,14.6594,6.90252,-2.35619,12,"2015",15,"Severe Drought"
