"WTD","HAND","SoilFertility","SoilSand_content","TreeHeight","MCWD_STD","DrySeasonLength","Long","Lat","SegGeo_number","HAND_CLASS","EVI_anomaly_fit_mean","EVI_anomaly_fit_standardize"
19.7996,19.7996,0.0172834,0.35,33.5559,81.1535,5.25617,-52.9279,22.836,12,19,-0.789081189941926,-0.927239284744536
4.08025,4.08025,-0.989493,0.51,33.431,27.1694,0.0119131,-70.5885,15.8222,21,5,-0.614049340305049,-0.384190361443597
15.7265,15.7265,-0.0226591,0.28,34.4522,96.0303,5.14979,-53.5868,22.4975,12,15,-1.04415602673819,-1.71862734223661
16.2709,16.2709,0.0212185,0.35,33.135,92.9929,5.41399,-52.58,22.8325,12,17,-0.821281382291261,-1.02714270130367
4.91892,4.91892,-0.814265,0.3,28.8736,79.5923,4.6217,-59.2491,21.503,12,5,-0.75354836596503,-0.816996138468432
14.5548,14.5548,-0.125471,0.38,33.3424,84.5735,5.23159,-54.2555,21.8164,12,15,-0.666058373667932,-0.545552134333677
29.2681,29.2681,-0.0705471,0.39,28.5062,59.2231,4.94292,-52.5892,25.1633,12,29,-0.926225232605569,-1.35273855736342
13.5876,13.5876,-0.515923,0.4,29.8398,99.7099,6.58725,-59.9074,15.5188,9,13,-0.455336275363471,0.108228356687554
8.28545,8.28545,-0.69305,0.27,27.8745,97.7629,5.10646,-58.1681,20.5706,12,9,-0.790598224673635,-0.931945994291248
12.1663,12.1663,0.616332,0.27,37.5918,84.8732,5,-70.5933,26.8274,12,13,-0.736241946156507,-0.763301724207771
5.4232,5.4232,-0.87069,0.28,28.2309,61.3974,4,-60.5903,22.4769,12,5,-0.887466002751686,-1.23248525441432
5.25396,5.25396,-0.676496,0.26,27.7308,34.3847,1.5305,-61.5386,21.5398,12,5,-0.783415529746735,-0.909661165818348
3.48562,3.48562,-0.404166,0.4,32.795,22.0434,0,-68.6965,20.3822,21,3,-0.271327401195456,0.679129145327249
27.4874,27.4874,-0.283151,0.32,33.2167,72.4247,5.45657,-55.2587,21.4923,12,27,-0.537234638537726,-0.145867215256388
4.29306,4.29306,-0.407801,0.39,32.1415,19.6806,0.0232558,-68.9537,20.438,21,5,-0.294644170482113,0.606787188807652
10.8483,10.8483,-0.0501942,0.37,35.0592,94.2006,5.35436,-53.5953,22.1588,12,11,-0.636084384062053,-0.45255567216822
27.1365,27.1365,-0.359748,0.38,31.5656,64.2658,4,-55.9227,21.8492,12,27,-0.476553514655784,0.042400343231645
5.60864,5.60864,-0.117372,0.35,35.8099,65.9767,3.40397,-68.9242,24.16,12,5,-0.631465534269319,-0.438225357930916
11.1345,11.1345,0.532135,0.37,37.2391,86.5017,5,-70.5888,26.494,12,11,-0.0794299276339217,1.27450488190294
10.925,10.925,-1.06,0.48,30.7419,19.3615,0,-70.5896,17.4909,21,11,-0.701785347304069,-0.65639764391468
31.5647,31.5647,-0.23831,0.37,31.2704,83.2104,5.41752,-54.9315,18.1521,9,31,-0.647728562815962,-0.488682575632659
11.5138,11.5138,0.608235,0.34,36.5705,67.8644,5,-69.9217,26.8263,12,11,-0.307513608132999,0.566858831344135
3.37998,3.37998,-0.718402,0.35,29.7931,31.9033,1.57793,-61.5891,21.8242,12,3,-0.406716826697779,0.259073698859074
5.25567,5.25567,-0.350865,0.29,29.8624,33.743,1.72753,-62.5506,20.7378,12,5,-0.760930201483491,-0.839898814973316
9.77211,9.77211,-0.572466,0.49,31.2214,39.6246,3,-74.521,15.9075,21,9,-0.517314336891432,-0.0840630442824063
30.0714,30.0714,-0.165499,0.34,33.385,81.7032,6.64126,-54.2578,21.4997,12,31,-0.648447078374366,-0.490911821916555
8.25368,8.25368,-0.299801,0.35,36.9364,59.9742,2.2918,-71.9215,24.1607,12,9,-0.480186809719508,0.0311277835433172
26.4841,26.4841,-0.316532,0.32,33.8186,98.7008,5.92495,-55.2588,18.1609,9,27,-0.462374627077209,0.0863913634323927
10.3931,10.3931,-0.097125,0.36,33.0373,89.6537,5.77053,-53.9263,21.8339,12,11,-0.707610272056437,-0.674469892603388
6.5878,6.5878,-0.785829,0.34,32.5766,74.8116,3.91414,-58.58,21.4948,12,7,-0.566431566588341,-0.236452787964871
9.75319,9.75319,-0.0743764,0.43,27.1492,65.7856,5.31966,-63.258,31.492,12,9,-0.657849686965696,-0.520084092462373
11.3659,11.3659,-0.342534,0.46,23.9785,53.1762,5,-52.927,26.8259,12,11,-0.705522343385903,-0.667991943482616
24.2355,24.2355,-0.0169446,0.48,16.8372,67.6759,6.84651,-48.2399,23.8459,12,25,-1.23926527704455,-2.32396784754885
17.4491,17.4491,-0.0951762,0.35,34.0256,75.4003,4,-54.9248,22.4938,12,17,-0.723924469448799,-0.725085865335329
17.1952,17.1952,-0.461572,0.33,33.9726,63.1859,4,-56.5919,21.8238,12,17,-0.411683742127928,0.243663485906034
9.70767,9.70767,-0.388026,0.35,38.2212,57.2246,3.07605,-72.2563,24.1597,12,9,-0.350167931994727,0.434520718621815
5.08309,5.08309,-0.985307,0.53,33.4897,22.7494,0,-70.2548,15.8265,21,5,-0.634704377214692,-0.448274101504583
8.68812,8.68812,-1.01027,0.5,31.6525,10.2146,0,-70.2521,17.8301,21,9,-0.682924218877857,-0.597879634161916
33.8144,33.8144,-0.557828,0.41,32.3466,100.169,5.54143,-59.5909,15.8266,9,33,-0.313189882426246,0.549247781414058
5.59686,5.59686,-0.879169,0.34,31.8467,64.3369,4,-60.9305,22.8186,12,5,-0.667925765707452,-0.551345852668632
4.25232,4.25232,-0.728068,0.34,28.4036,55.2961,3.60569,-64.9198,23.8322,12,5,-0.460515683496444,0.0921588698154077
22.1741,22.1741,0.0293396,0.45,14.2308,71.6938,7,-48.2514,23.4454,12,23,-1.30404533957399,-2.52495265849017
20.5692,20.5692,-0.338972,0.33,34.0154,84.3612,6.00201,-55.2506,21.1625,12,21,-0.477115398717224,0.0406570574512676
10.6119,10.6119,-0.0303759,0.35,31.3488,92.8306,6.15884,-51.2531,22.4918,12,11,-0.815377265789738,-1.00882475450801
6.64759,6.64759,-0.917221,0.49,30.1922,32.9788,1.74798,-70.9231,15.5005,21,7,-0.576364612661668,-0.267270779012839
12.8671,12.8671,-0.106104,0.33,34.1638,91.9649,7,-52.2578,21.8279,12,13,-0.812065576314698,-0.998549999327971
10.3003,10.3003,-0.063884,0.29,33.7063,98.6395,7,-53.2576,21.8267,12,11,-1.04455764532016,-1.71987339282095
8.03586,8.03586,-0.776337,0.49,30.7893,37.5596,2,-70.5916,14.8289,21,9,-0.530329411379919,-0.124443250526682
20.3844,20.3844,-0.432186,0.51,22.896,54.5344,5,-52.9299,27.1563,12,21,-0.854016734717923,-1.1287064905572
18.0331,18.0331,-0.120609,0.32,33.6389,94.1781,7,-53.5915,20.4924,12,19,-0.823040529258558,-1.03260058150376
