"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","HAND_CLASS","Drought_Condition","Long","Lat"
1.02653,0.70945,-2.42627,-2.10358,18.6919,18.6919,4.8835,-2.67063,-0.16574,0.388058,0.404757,19.7476,0.658699,5,113.188,12,"2015",19,"Severe Drought",-49.9559,24.1549
-0.245133,1.2642,-1.24548,-1.06331,36.0585,36.0585,2,-2.65625,-0.252383,0.291508,0.510302,36.5729,0.68368,4,58.2721,12,"2010",37,"Medium Drought",-55.6214,22.0232
-0.783436,1.79248,-1.2991,-1.24714,12.3847,12.3847,3,-2.65048,-0.300758,0.35977,0.419682,32.1534,0.670132,3.97338,52.5774,12,"2010",13,"Medium Drought",-57.6049,25.195
0.296519,1.52157,-1.28285,-1.08045,21.7862,21.7862,1.87097,-2.64936,0.0232229,0.363964,0.435512,32.6785,0.662655,4.12903,53.3103,12,"2010",22,"Medium Drought",-53.6046,24.4605
0.179312,1.4846,-0.648857,-1.0409,16.8915,16.8915,3,-2.64558,0.0367375,0.37835,0.4273,30.85,0.663584,4,66.24,12,"2010",17,"Medium Drought",-53.4628,23.4306
2.21615,1.46721,-2.02558,-2.04153,13.3302,13.3302,6,-2.63641,-0.325931,0.445672,0.367164,28.796,0.696005,3,58.9531,12,"2015",14,"Severe Drought",-55.8537,18.7306
1.98884,2.23151,-2.2409,-2.37508,27.2381,27.2381,6,-2.63571,-0.132354,0.326748,0.505437,31.4301,0.676432,7,82.515,12,"2015",28,"Severe Drought",-53.9422,21.4738
-0.841715,1.63851,-1.11763,-1.12228,18.1805,18.1805,2.30641,-2.61543,-0.223372,0.370948,0.420158,35.1466,0.6663,4,46.5835,12,"2010",19,"Medium Drought",-59.2896,25.7989
-0.146646,1.71872,-1.50769,-1.17436,34.9835,34.9835,2,-2.60365,-0.264255,0.290048,0.500966,36.971,0.679819,4,48.3584,12,"2010",35,"Medium Drought",-56.4628,22.8977
1.25874,0.89794,-2.09928,-2.12242,17.8919,17.8919,4.61684,-2.59828,-0.0050181,0.35077,0.423984,32.4337,0.662416,4.68283,57.1406,12,"2015",18,"Severe Drought",-53.5962,24.8307
-0.71756,1.7778,-1.35142,-1.60017,24.0077,24.0077,2.50785,-2.59418,-0.214229,0.387448,0.399889,29.8174,0.6624,5,49.9357,12,"2010",25,"Medium Drought",-56.2558,25.4877
-0.615705,2.14557,-1.39457,-1.30219,13.973,13.973,2.14042,-2.58953,0.52491,0.361518,0.380408,37.9364,0.593318,5,68.3284,12,"2010",14,"Medium Drought",-70.6234,28.1905
-0.94328,1.79823,-0.957389,-1.23352,75.6715,75.6715,2.79365,-2.58477,-0.274152,0.422222,0.346667,25.2063,0.654517,5,58.8623,12,"2010",41,"Medium Drought",-50.9115,26.0829
-1.44082,2.47353,0.556673,-2.10075,8.18633,8.18633,3.02857,-2.584,-0.0685115,0.418286,0.319714,18.2,0.624885,5.48571,44.1554,12,"2010",9,"Severe Drought",-65.9105,30.5546
1.18826,0.509432,-2.37233,-2.02411,47.8057,47.8057,5.18974,-2.58092,-0.178204,0.372923,0.410154,19.9641,0.658776,6.24103,128.101,12,"2015",41,"Severe Drought",-49.9734,23.749
-0.870473,1.62018,-0.59218,-1.25578,27.9721,27.9721,3,-2.56753,-0.379952,0.378331,0.426696,34.0718,0.671941,4,55.4393,12,"2010",28,"Medium Drought",-58.926,24.8972
-0.801033,1.44288,-0.553204,-1.4154,18.7421,18.7421,2,-2.56554,-0.161459,0.5,0.314286,16,0.661035,5,43.2173,12,"2010",19,"Medium Drought",-48.2069,25.2069
