"WTD","HAND","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","Long","Lat"
7.80656,7.80656,-0.87159,0.55,0.27,31.038,0.697509,0.731333,22.918,21,"2015",-67.9217,14.8304
12.1948,12.1948,-0.0982662,0.37,0.46,30.9517,0.675801,7,92.7478,12,"2015",-53.5999,21.4895
19.7996,19.7996,0.0172834,0.35,0.47,33.5559,0.667542,5.25617,81.1535,12,"2015",-52.9279,22.836
4.08025,4.08025,-0.989493,0.51,0.32,33.431,0.666166,0.0119131,27.1694,21,"2015",-70.5885,15.8222
15.7265,15.7265,-0.0226591,0.28,0.5,34.4522,0.670663,5.14979,96.0303,12,"2015",-53.5868,22.4975
16.2709,16.2709,0.0212185,0.35,0.43,33.135,0.666652,5.41399,92.9929,12,"2015",-52.58,22.8325
4.91892,4.91892,-0.814265,0.3,0.45,28.8736,0.683776,4.6217,79.5923,12,"2015",-59.2491,21.503
14.5548,14.5548,-0.125471,0.38,0.43,33.3424,0.676435,5.23159,84.5735,12,"2015",-54.2555,21.8164
29.2681,29.2681,-0.0705471,0.39,0.39,28.5062,0.659257,4.94292,59.2231,12,"2015",-52.5892,25.1633
13.5876,13.5876,-0.515923,0.4,0.42,29.8398,0.689762,6.58725,99.7099,9,"2015",-59.9074,15.5188
8.28545,8.28545,-0.69305,0.27,0.48,27.8745,0.68898,5.10646,97.7629,12,"2015",-58.1681,20.5706
12.1663,12.1663,0.616332,0.27,0.39,37.5918,0.612575,5,84.8732,12,"2015",-70.5933,26.8274
5.4232,5.4232,-0.87069,0.28,0.41,28.2309,0.678466,4,61.3974,12,"2015",-60.5903,22.4769
5.25396,5.25396,-0.676496,0.26,0.43,27.7308,0.677256,1.5305,34.3847,12,"2015",-61.5386,21.5398
3.48562,3.48562,-0.404166,0.4,0.34,32.795,0.662003,0,22.0434,21,"2015",-68.6965,20.3822
27.4874,27.4874,-0.283151,0.32,0.52,33.2167,0.680133,5.45657,72.4247,12,"2015",-55.2587,21.4923
4.29306,4.29306,-0.407801,0.39,0.36,32.1415,0.661999,0.0232558,19.6806,21,"2015",-68.9537,20.438
10.8483,10.8483,-0.0501942,0.37,0.44,35.0592,0.675156,5.35436,94.2006,12,"2015",-53.5953,22.1588
6.63629,6.63629,-0.763305,1.67,1.72,24.0507,0.686494,4,77.0888,12,"2015",-59.2825,20.8447
27.1365,27.1365,-0.359748,0.38,0.43,31.5656,0.683679,4,64.2658,12,"2015",-55.9227,21.8492
5.60864,5.60864,-0.117372,0.35,0.36,35.8099,0.645414,3.40397,65.9767,12,"2015",-68.9242,24.16
11.1345,11.1345,0.532135,0.37,0.35,37.2391,0.61264,5,86.5017,12,"2015",-70.5888,26.494
10.925,10.925,-1.06,0.48,0.32,30.7419,0.656495,0,19.3615,21,"2015",-70.5896,17.4909
31.5647,31.5647,-0.23831,0.37,0.45,31.2704,0.695544,5.41752,83.2104,9,"2015",-54.9315,18.1521
11.5138,11.5138,0.608235,0.34,0.37,36.5705,0.619144,5,67.8644,12,"2015",-69.9217,26.8263
3.37998,3.37998,-0.718402,0.35,0.37,29.7931,0.676862,1.57793,31.9033,12,"2015",-61.5891,21.8242
5.25567,5.25567,-0.350865,0.29,0.36,29.8624,0.673478,1.72753,33.743,12,"2015",-62.5506,20.7378
9.77211,9.77211,-0.572466,0.49,0.34,31.2214,0.617275,3,39.6246,21,"2015",-74.521,15.9075
30.0714,30.0714,-0.165499,0.34,0.49,33.385,0.676437,6.64126,81.7032,12,"2015",-54.2578,21.4997
8.25368,8.25368,-0.299801,0.35,0.36,36.9364,0.632383,2.2918,59.9742,12,"2015",-71.9215,24.1607
26.4841,26.4841,-0.316532,0.32,0.46,33.8186,0.69547,5.92495,98.7008,9,"2015",-55.2588,18.1609
10.3931,10.3931,-0.097125,0.36,0.46,33.0373,0.676433,5.77053,89.6537,12,"2015",-53.9263,21.8339
6.5878,6.5878,-0.785829,0.34,0.46,32.5766,0.684092,3.91414,74.8116,12,"2015",-58.58,21.4948
9.75319,9.75319,-0.0743764,0.43,0.33,27.1492,0.627794,5.31966,65.7856,12,"2015",-63.258,31.492
11.3659,11.3659,-0.342534,0.46,0.35,23.9785,0.654354,5,53.1762,12,"2015",-52.927,26.8259
24.2355,24.2355,-0.0169446,0.48,0.33,16.8372,0.663905,6.84651,67.6759,12,"2015",-48.2399,23.8459
17.4491,17.4491,-0.0951762,0.35,0.44,34.0256,0.675552,4,75.4003,12,"2015",-54.9248,22.4938
17.1952,17.1952,-0.461572,0.33,0.48,33.9726,0.685174,4,63.1859,12,"2015",-56.5919,21.8238
9.70767,9.70767,-0.388026,0.35,0.4,38.2212,0.632388,3.07605,57.2246,12,"2015",-72.2563,24.1597
5.08309,5.08309,-0.985307,0.53,0.33,33.4897,0.678162,0,22.7494,21,"2015",-70.2548,15.8265
8.68812,8.68812,-1.01027,0.5,0.31,31.6525,0.66936,0,10.2146,21,"2015",-70.2521,17.8301
33.8144,33.8144,-0.557828,0.41,0.4,32.3466,0.690903,5.54143,100.169,9,"2015",-59.5909,15.8266
5.59686,5.59686,-0.879169,0.34,0.39,31.8467,0.678079,4,64.3369,12,"2015",-60.9305,22.8186
4.25232,4.25232,-0.728068,0.34,0.37,28.4036,0.66705,3.60569,55.2961,12,"2015",-64.9198,23.8322
22.1741,22.1741,0.0293396,0.45,0.35,14.2308,0.663905,7,71.6938,12,"2015",-48.2514,23.4454
20.5692,20.5692,-0.338972,0.33,0.51,34.0154,0.684952,6.00201,84.3612,12,"2015",-55.2506,21.1625
10.6119,10.6119,-0.0303759,0.35,0.43,31.3488,0.660962,6.15884,92.8306,12,"2015",-51.2531,22.4918
6.64759,6.64759,-0.917221,0.49,0.34,30.1922,0.66304,1.74798,32.9788,21,"2015",-70.9231,15.5005
12.8671,12.8671,-0.106104,0.33,0.48,34.1638,0.66943,7,91.9649,12,"2015",-52.2578,21.8279
10.3003,10.3003,-0.063884,0.29,0.52,33.7063,0.672484,7,98.6395,12,"2015",-53.2576,21.8267
8.03586,8.03586,-0.776337,0.49,0.29,30.7893,0.667135,2,37.5596,21,"2015",-70.5916,14.8289
20.3844,20.3844,-0.432186,0.51,0.33,22.896,0.654107,5,54.5344,12,"2015",-52.9299,27.1563
18.0331,18.0331,-0.120609,0.32,0.51,33.6389,0.681011,7,94.1781,12,"2015",-53.5915,20.4924
10.125,10.125,-0.508267,0.51,0.37,23.3647,0.690898,7.94706,110.394,9,"2015",-60.4964,14.543
3.99687,3.99687,-0.795168,0.29,0.41,29.7894,0.676887,1.94085,37.0428,12,"2015",-61.5919,22.1618
9.65015,9.65015,-0.347828,0.45,0.4,28.2885,0.627977,3,48.4642,21,"2015",-74.1921,15.1308
20.171,20.171,0.00224862,0.37,0.41,31.7882,0.670613,5.41955,78.2316,12,"2015",-53.5903,22.8262
21.3557,21.3557,-0.265696,0.37,0.48,26.0517,0.689627,6,106.52,12,"2015",-54.9093,19.8596
4.46604,4.46604,0.0112708,0.83,0.78,35.2796,0.613422,2,21.1497,9,"2015",-75.3061,23.8403
15.0959,15.0959,-0.164077,0.35,0.46,34.4854,0.66943,7,92.783,12,"2015",-52.2572,21.4915
6.96131,6.96131,-0.984976,0.54,0.28,31.4965,0.6582,0,26.6295,21,"2015",-71.2584,17.1574
11.954,11.954,-0.701561,0.39,0.44,32.6629,0.675866,3.0727,53.7898,12,"2015",-60.5963,24.1566
49.292,49.292,0.00237894,0.3,0.44,28.6063,0.660565,4.99595,95.9195,12,"2015",-50.915,23.1589
29.3132,29.3132,-0.276657,0.34,0.49,36.7307,0.682923,4,61.3245,12,"2015",-55.5856,21.8299
13.6338,13.6338,0.229151,0.4,0.33,31.6113,0.618963,5,59.4395,12,"2015",-68.9255,28.1175
21.8357,21.8357,-0.413528,0.36,0.45,32.575,0.697499,5.64535,102.154,9,"2015",-55.5908,17.8296
10.6392,10.6392,-0.0896826,0.37,0.4,17.8137,0.659997,5.63975,96.7951,12,"2015",-49.5165,24.1717
8.64618,8.64618,-0.0522842,0.37,0.36,25.5841,0.627785,5.81477,60.2764,12,"2015",-62.9335,31.5167
14.2541,14.2541,-0.128333,0.36,0.45,34.9015,0.675552,4,61.2997,12,"2015",-55.2594,22.4951
6.90032,6.90032,-0.849038,0.35,0.42,33.3899,0.677869,4,62.387,12,"2015",-60.9257,23.16
19.1135,19.1135,-0.0121551,0.37,0.43,30.0453,0.662632,5.95469,69.9101,12,"2015",-49.9652,22.4535
5.00104,5.00104,-0.768351,0.46,0.36,34.1989,0.618947,0.756215,28.0846,21,"2015",-73.9229,17.1684
14.0512,14.0512,-0.141365,0.39,0.43,34.246,0.66943,6.58867,90.3063,12,"2015",-51.9271,21.8277
5.7984,5.7984,-0.854311,0.31,0.44,32.5152,0.67844,4,59.3141,12,"2015",-60.5869,22.8322
15.3711,15.3711,0.00614772,0.38,0.4,26.8892,0.663139,6,69.3297,12,"2015",-49.5941,22.88
5.98707,5.98707,-0.216327,0.32,0.37,36.4806,0.628656,2.26551,52.2155,12,"2015",-71.5804,24.529
15.2001,15.2001,-0.00479506,0.3,0.48,33.0459,0.674276,4,67.4345,12,"2015",-54.5929,23.1585
21.5036,21.5036,-0.153521,0.36,0.43,33.5495,0.679492,4.10316,80.2513,12,"2015",-54.5992,21.8206
7.11414,7.11414,-0.570338,0.33,0.39,37.992,0.6281,2,36.8046,21,"2015",-73.2575,23.4958
5.13839,5.13839,0.0615289,0.41,0.35,17.7426,0.613351,5,70.7043,12,"2015",-64.0056,34.511
12.5528,12.5528,-0.078998,0.35,0.46,33.8907,0.671732,7,95.6786,12,"2015",-52.5693,21.8269
13.9045,13.9045,-0.520739,0.41,0.48,33.0895,0.689268,3.62993,75.0322,12,"2015",-56.9253,21.1608
